somay,distance,may0,may1,may2,may3,reward
0,0,0.3576666666666667,0.0,0.0,0.0,1
1,0.41659855520208816,0.3576666666666667,0.7431481017234918,0.0,0.0,1
2,0.2886688012785054,0.3576666666666667,0.7431481017234918,0.5844047927620831,0.0,1
0,0,0.17933333333333334,0.0,0.0,0.0,1
1,0.41435126598112093,0.17933333333333334,0.7442493349070236,0.0,0.0,1
2,0.2886688012785054,0.17933333333333334,0.7442493349070236,0.5863349912723727,0.0,1
2,0.2886688012785054,0.17933333333333334,0.7442493349070236,1.037168324605706,0.0,1
0,0,0.36,0.7442493349070236,1.037168324605706,0.0,1
3,0.45285654076471255,0.36,0.7442493349070236,1.037168324605706,0.7774643229489103,1
0,0,0.542,0.7442493349070236,1.037168324605706,0.7774643229489103,1
0,0,0.18233333333333335,0.0,0.03716832460570596,0.0,1
0,0,0.18266666666666667,0.0,0.0,0.0,1
0,0,0.18300000000000002,0.0,0.0,0.0,1
1,0.4076093983182196,0.18300000000000002,0.7511847407603578,0.0,0.0,1
2,0.2886688012785054,0.18300000000000002,0.7511847407603578,0.5972573527250528,0.0,1
2,0.2886688012785054,0.18300000000000002,0.7511847407603578,1.0572573527250528,0.0,1
0,0,0.36700000000000005,0.7511847407603578,1.0572573527250528,0.0,1
0,0,0.18466666666666667,0.0,0.057257352725052835,0.0,1
1,0.4053621090972524,0.18466666666666667,0.7594923700295193,0.057257352725052835,0.0,1
2,0.2886688012785054,0.18466666666666667,0.7594923700295193,0.6044510830789651,0.0,1
0,0,0.18633333333333335,0.0,0.0,0.0,1
0,0,0.18666666666666668,0.0,0.0,0.0,1
0,0,0.18700000000000003,0.0,0.0,0.0,1
1,0.3986202414343509,0.18700000000000003,0.7599153942222441,0.0,0.0,1
0,0,0.18733333333333335,0.0,0.0,0.0,1
1,0.39637295221338376,0.18733333333333335,0.7624207375021675,0.0,0.0,1
2,0.2886688012785054,0.18733333333333335,0.7624207375021675,0.6105052104534565,0.0,1
2,0.2886688012785054,0.18733333333333335,0.7624207375021675,1.0821718771201232,0.0,1
3,0.4320015319275188,0.18733333333333335,0.7624207375021675,1.0821718771201232,0.7877016529736174,1
0,0,0.18899999999999997,0.0,0.0821718771201232,0.0,1
1,0.3941256629924165,0.18899999999999997,0.7633687971770864,0.0821718771201232,0.0,1
2,0.2886688012785054,0.18899999999999997,0.7633687971770864,0.6135322741407023,0.0,1
0,0,0.18933333333333333,0.0,0.0,0.0,1
1,0.39187837377144946,0.18933333333333333,0.7648730370873104,0.0,0.0,1
2,0.2886688012785054,0.18933333333333333,0.7648730370873104,0.6158577704164261,0.0,1
2,0.2886688012785054,0.18933333333333333,0.7648730370873104,1.0933577704164261,0.0,1
3,0.4267877797182204,0.18933333333333333,0.7648730370873104,1.0933577704164261,0.793041172034994,1
0,0,0.19166666666666665,0.0,0.09335777041642612,0.0,1
1,0.3896310845504823,0.19166666666666665,0.7705570132881516,0.09335777041642612,0.0,1
0,0,0.19166666666666665,0.0,0.0,0.0,1
1,0.38738379532951517,0.19166666666666665,0.7698740082792074,0.0,0.0,1
0,0,0.19333333333333333,0.0,0.0,0.0,1
0,0,0.19333333333333333,0.0,0.0,0.0,1
1,0.3828892168875808,0.19333333333333333,0.7722600903649026,0.0,0.0,1
2,0.2886688012785054,0.19333333333333333,0.7722600903649026,0.6268691599884529,0.0,1
2,0.2886688012785054,0.19333333333333333,0.7722600903649026,1.1110358266551197,0.0,1
