somay,distance,may0,may1,may2,may3,reward
0,0,0.41333333333333333,0.0,0.0,0.0,1
0,0,0.20733333333333334,0.0,0.0,0.0,1
0,0,0.41533333333333333,0.0,0.0,0.0,1
0,0,0.6236666666666667,0.0,0.0,0.0,1
0,0,0.20833333333333334,0.0,0.0,0.0,1
0,0,0.41700000000000004,0.0,0.0,0.0,1
0,0,0.6256666666666667,0.0,0.0,0.0,1
0,0,0.20866666666666667,0.0,0.0,0.0,1
0,0,0.41800000000000004,0.0,0.0,0.0,1
0,0,0.20933333333333334,0.0,0.0,0.0,1
0,0,0.41900000000000004,0.0,0.0,0.0,1
0,0,0.20966666666666667,0.0,0.0,0.0,1
0,0,0.21,0.0,0.0,0.0,1
0,0,0.42,0.0,0.0,0.0,1
0,0,0.63,0.0,0.0,0.0,1
0,0,0.21033333333333334,0.0,0.0,0.0,1
0,0,0.4206666666666667,0.0,0.0,0.0,1
0,0,0.21066666666666667,0.0,0.0,0.0,1
0,0,0.42133333333333334,0.0,0.0,0.0,1
0,0,0.6323333333333333,0.0,0.0,0.0,1
0,0,0.211,0.0,0.0,0.0,1
0,0,0.42233333333333334,0.0,0.0,0.0,1
0,0,0.635,0.0,0.0,0.0,1
0,0,0.21266666666666667,0.0,0.0,0.0,1
0,0,0.42533333333333334,0.0,0.0,0.0,1
0,0,0.6383333333333333,0.0,0.0,0.0,1
0,0,0.8513333333333333,0.0,0.0,0.0,1
0,0,0.213,0.0,0.0,0.0,1
0,0,0.426,0.0,0.0,0.0,1
0,0,0.6393333333333333,0.0,0.0,0.0,1
0,0,0.21333333333333335,0.0,0.0,0.0,1
0,0,0.42700000000000005,0.0,0.0,0.0,1
0,0,0.214,0.0,0.0,0.0,1
0,0,0.428,0.0,0.0,0.0,1
0,0,0.6426666666666667,0.0,0.0,0.0,1
0,0,0.21466666666666667,0.0,0.0,0.0,1
0,0,0.43066666666666664,0.0,0.0,0.0,1
0,0,0.6476666666666666,0.0,0.0,0.0,1
0,0,0.8646666666666666,0.0,0.0,0.0,1
0,0,1.0819999999999999,0.0,0.0,0.0,1
0,0,1.2993333333333332,0.0,0.0,0.0,0.993845680888294
0,0,0.5169999999999999,0.0,0.0,0.0,1
0,0,0.7346666666666666,0.0,0.0,0.0,1
0,0,0.9526666666666666,0.0,0.0,0.0,1
0,0,1.1706666666666665,0.0,0.0,0.0,1
0,0,0.3889999999999999,0.0,0.0,0.0,1
0,0,0.6073333333333333,0.0,0.0,0.0,1
0,0,0.826,0.0,0.0,0.0,1
0,0,1.045,0.0,0.0,0.0,1
0,0,0.2656666666666666,0.0,0.0,0.0,1
0,0,0.4873333333333333,0.0,0.0,0.0,1
0,0,0.7096666666666667,0.0,0.0,0.0,1
0,0,0.22233333333333336,0.0,0.0,0.0,1
0,0,0.44500000000000006,0.0,0.0,0.0,1
0,0,0.668,0.0,0.0,0.0,1
0,0,0.223,0.0,0.0,0.0,1
0,0,0.446,0.0,0.0,0.0,1
0,0,0.6693333333333333,0.0,0.0,0.0,1
0,0,0.8933333333333333,0.0,0.0,0.0,1
0,0,0.22433333333333336,0.0,0.0,0.0,1
0,0,0.44900000000000007,0.0,0.0,0.0,1
0,0,0.6743333333333335,0.0,0.0,0.0,1
0,0,0.22666666666666668,0.0,0.0,0.0,1
0,0,0.45366666666666666,0.0,0.0,0.0,1
0,0,0.681,0.0,0.0,0.0,1
0,0,0.9093333333333334,0.0,0.0,0.0,1
0,0,1.1383333333333334,0.0,0.0,0.0,1
0,0,1.3673333333333335,0.0,0.0,0.0,0.9749935615027564
0,0,1.5970000000000002,0.0,0.0,0.0,0.808456294162549
0,0,0.8266666666666669,0.0,0.0,0.0,1
